words,sport,business,politic,entertainment,tech
reshuffl,1.0327484534591909e-05,1.924668475855034e-05,4.631602349148711e-05,1.2172113687541841e-05,8.754880846071685e-06
scold,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
accret,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
cruelti,1.0327484534591909e-05,9.62334237927517e-06,4.631602349148711e-05,1.2172113687541841e-05,8.754880846071685e-06
crossbar,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
hermann,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
lord,4.1309938138367636e-05,8.661008141347653e-05,0.0033440168960853695,0.00024344227375083682,0.00010505857015286022
blaisdon,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
mccririck,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,0.00013389325056296025,8.754880846071685e-06
undersecretari,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
wizardri,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
digit,1.0327484534591909e-05,0.00010585676617202686,2.7789614094892268e-05,0.00048688454750167365,0.0034056486491218854
farga,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
figo,3.0982453603775725e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
dramatis,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
beaudoin,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
sharehold,4.1309938138367636e-05,0.0012606578516850472,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
dell,1.0327484534591909e-05,2.887002713782551e-05,9.263204698297423e-06,1.2172113687541841e-05,9.630368930678853e-05
giannakopoulo,6.196490720755145e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
hitchcock,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
yellow,4.1309938138367636e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,2.6264642538215056e-05
politician,1.0327484534591909e-05,0.00010585676617202686,0.0007410563758637938,9.737690950033473e-05,4.3774404230358426e-05
ironi,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
rancour,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
goosen,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,3.501952338428674e-05
sichuan,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
disturb,1.0327484534591909e-05,9.62334237927517e-06,5.5579228189784537e-05,4.8688454750167365e-05,1.750976169214337e-05
prize,0.0002168771752264301,2.887002713782551e-05,5.5579228189784537e-05,0.00185016128050636,0.00023638178284393548
franciqu,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
wooden,0.00010327484534591909,9.62334237927517e-06,9.263204698297423e-06,4.8688454750167365e-05,8.754880846071685e-06
showcas,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,0.00013389325056296025,0.00023638178284393548
habeu,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
showbusi,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,6.0860568437709206e-05,8.754880846071685e-06
wednesday,0.0007022689483522498,0.0005581538579979598,0.000546529077199548,0.0003895076380013389,7.879392761464516e-05
hoc,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
exorcist,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,4.8688454750167365e-05,8.754880846071685e-06
raoul,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
pasqual,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,9.737690950033473e-05,8.754880846071685e-06
gorur,1.0327484534591909e-05,2.887002713782551e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
crotch,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
hastili,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,1.750976169214337e-05
habea,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,1.2172113687541841e-05,8.754880846071685e-06
croatian,7.229239174214337e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
charter,2.0654969069183818e-05,0.00023096021710260407,2.7789614094892268e-05,1.2172113687541841e-05,8.754880846071685e-06
carfax,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
popularis,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,2.4344227375083682e-05,2.6264642538215056e-05
futurologist,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,3.501952338428674e-05
miller,0.0002168771752264301,6.736339665492619e-05,9.263204698297423e-06,8.52047958127929e-05,1.750976169214337e-05
bacon,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,3.6516341062625523e-05,8.754880846071685e-06
frederick,3.0982453603775725e-05,1.924668475855034e-05,0.00010189525168127165,2.4344227375083682e-05,8.754880846071685e-06
histor,6.196490720755145e-05,7.698673903420136e-05,0.00013894807047446135,0.000231270160063295,0.00010505857015286022
sanderson,4.1309938138367636e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
second,0.0006506315256792903,3.849336951710068e-05,5.5579228189784537e-05,1.2172113687541841e-05,0.00019260737861357706
sooth,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
alloway,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
fullarton,4.1309938138367636e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
melvil,3.0982453603775725e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
tether,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
crutch,3.0982453603775725e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
maloney,7.229239174214337e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
seth,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,1.750976169214337e-05
colerain,4.1309938138367636e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
dialogu,5.1637422672959547e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,3.501952338428674e-05
battleground,1.0327484534591909e-05,1.924668475855034e-05,3.705281879318969e-05,1.2172113687541841e-05,1.750976169214337e-05
ruthless,3.0982453603775725e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
thunder,6.196490720755145e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
tivotogo,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
decre,3.0982453603775725e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
teignmouth,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
kisrti,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
pawel,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,3.6516341062625523e-05,8.754880846071685e-06
fossil,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,3.501952338428674e-05
reassembl,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
succumb,2.0654969069183818e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
cull,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,1.750976169214337e-05
specialist,6.196490720755145e-05,7.698673903420136e-05,5.5579228189784537e-05,1.2172113687541841e-05,0.0001138134509989319
intellectu,1.0327484534591909e-05,4.811671189637585e-05,1.8526409396594847e-05,4.8688454750167365e-05,7.003904676857348e-05
hero,0.00013425729894969482,9.62334237927517e-06,1.8526409396594847e-05,0.00027995861481346237,7.003904676857348e-05
hern,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
dow,1.0327484534591909e-05,9.62334237927517e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
splinter,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,1.2172113687541841e-05,1.750976169214337e-05
vonag,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
ongc,1.0327484534591909e-05,0.00017322016282695306,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
smfg,1.0327484534591909e-05,4.811671189637585e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
chine,4.1309938138367636e-05,0.000510037146101584,0.00010189525168127165,8.52047958127929e-05,0.00021011714030572045
fun,4.1309938138367636e-05,2.887002713782551e-05,3.705281879318969e-05,0.00030430284218854606,0.00021011714030572045
china,0.00011360232988051101,0.0021748753777161883,0.00029642255034551755,4.8688454750167365e-05,0.0004815184465339427
towergroup,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
verdecchia,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
vacuou,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,1.2172113687541841e-05,8.754880846071685e-06
chino,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
dori,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,6.0860568437709206e-05,1.750976169214337e-05
herv,2.0654969069183818e-05,5.774005427565102e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
meighan,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,7.303268212525105e-05,8.754880846071685e-06
chaotic,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,2.4344227375083682e-05,8.754880846071685e-06
wambo,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,3.6516341062625523e-05,8.754880846071685e-06
deterior,2.0654969069183818e-05,8.661008141347653e-05,4.631602349148711e-05,2.4344227375083682e-05,1.750976169214337e-05
personifi,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
unremark,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
militari,1.0327484534591909e-05,0.00018284350520622822,0.00023158011745743557,2.4344227375083682e-05,5.252928507643011e-05
pellet,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
canva,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
deregul,1.0327484534591909e-05,3.849336951710068e-05,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
oxymoron,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
lashawn,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
wadi,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,3.501952338428674e-05
karim,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
karin,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
fumbl,5.1637422672959547e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
vigo,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
prescott,1.0327484534591909e-05,9.62334237927517e-06,0.0004075810067250866,1.2172113687541841e-05,8.754880846071685e-06
sightse,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
climber,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
controversi,0.00025818711336479775,0.00018284350520622822,0.0004909498490097634,0.00045036820643904813,0.00019260737861357706
golden,8.261987627673527e-05,0.00018284350520622822,0.00011115845637956907,0.0006694662528148013,6.128416592250179e-05
swan,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,2.4344227375083682e-05,8.754880846071685e-06
rosencrantz,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
tobia,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
koji,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
brought,0.0002788420824339816,0.00023096021710260407,0.0003612649832335995,0.00018258170531312764,0.0002276269019978638
remnant,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
sterl,1.0327484534591909e-05,7.698673903420136e-05,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
stern,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,0.000231270160063295,1.750976169214337e-05
unit,0.0017659998554152166,0.0019631618453721344,0.00046316023491487114,0.0003164749558760879,0.0003589501146889391
scrushi,1.0327484534591909e-05,5.774005427565102e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
sternest,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
symphoni,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,1.750976169214337e-05
ohlemey,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
spoke,0.00013425729894969482,2.887002713782551e-05,0.0001204216610778665,6.0860568437709206e-05,1.750976169214337e-05
discis,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
negar,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
overshadow,3.0982453603775725e-05,2.887002713782551e-05,8.336884228467681e-05,1.2172113687541841e-05,1.750976169214337e-05
trackbal,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,2.6264642538215056e-05
appela,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
valbon,8.261987627673527e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
cherney,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
music,1.0327484534591909e-05,0.00014435013568912754,3.705281879318969e-05,0.006585113504960136,0.003440668172506172
telegraph,2.0654969069183818e-05,0.00015397347806840272,0.00017600088926765105,2.4344227375083682e-05,8.754880846071685e-06
passport,1.0327484534591909e-05,9.62334237927517e-06,0.0001204216610778665,0.00010954902318787658,7.003904676857348e-05
centr,0.0008778361854403123,0.0005774005427565101,0.00046316023491487114,0.0002677865011259205,0.0004815184465339427
strike,0.0003304795051069411,0.00012510345093057722,0.0004446338255182763,8.52047958127929e-05,7.879392761464516e-05
rouki,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
hoffmann,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,2.4344227375083682e-05,8.754880846071685e-06
wishaw,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
paperwork,1.0327484534591909e-05,2.887002713782551e-05,3.705281879318969e-05,1.2172113687541841e-05,8.754880846071685e-06
aarhu,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
relay,0.00028916956696857347,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,0.0001138134509989319
relax,9.294736081132719e-05,8.661008141347653e-05,4.631602349148711e-05,1.2172113687541841e-05,8.754880846071685e-06
firepow,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
georgian,1.0327484534591909e-05,2.887002713782551e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
relat,7.229239174214337e-05,0.0003560636680331813,0.0002871593456472201,0.00019475381900066946,0.00018385249776750538
relas,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
yahoo,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,0.0005077830890721577
notic,2.0654969069183818e-05,2.887002713782551e-05,0.0001574744798710562,8.52047958127929e-05,0.00012256833184500358
hurt,0.00015491226801887865,0.00015397347806840272,5.5579228189784537e-05,7.303268212525105e-05,6.128416592250179e-05
sputter,1.0327484534591909e-05,4.811671189637585e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
holm,0.0006816139792830661,9.62334237927517e-06,8.336884228467681e-05,7.303268212525105e-05,1.750976169214337e-05
exce,1.0327484534591909e-05,6.736339665492619e-05,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
boorman,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
holi,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,8.52047958127929e-05,2.6264642538215056e-05
outskirt,1.0327484534591909e-05,2.887002713782551e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
hole,2.0654969069183818e-05,5.774005427565102e-05,0.00014821127517275877,3.6516341062625523e-05,0.00014007809353714696
hold,0.0005473566803333712,0.0009238408684104163,0.0006669507382774145,0.00025561438743837867,0.0006828807059935915
miscellan,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
tver,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
accid,0.00018589472162265438,2.887002713782551e-05,7.410563758637939e-05,4.8688454750167365e-05,3.501952338428674e-05
sakhalin,1.0327484534591909e-05,4.811671189637585e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
kampala,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
kosslick,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,8.52047958127929e-05,8.754880846071685e-06
generalis,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
sweeten,1.0327484534591909e-05,5.774005427565102e-05,4.631602349148711e-05,1.2172113687541841e-05,8.754880846071685e-06
blade,5.1637422672959547e-05,9.62334237927517e-06,9.263204698297423e-06,4.8688454750167365e-05,2.6264642538215056e-05
technologist,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
conceptu,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
battlefront,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-05
roosevelt,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,3.6516341062625523e-05,8.754880846071685e-06
sweeter,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
refut,3.0982453603775725e-05,1.924668475855034e-05,1.8526409396594847e-05,2.4344227375083682e-05,8.754880846071685e-06
cacophoni,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
rework,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
unrevis,1.0327484534591909e-05,2.887002713782551e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
herrick,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
spennymoor,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
accura,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
understaf,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
wang,1.0327484534591909e-05,6.736339665492619e-05,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
wane,1.0327484534591909e-05,7.698673903420136e-05,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
unjust,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,1.2172113687541841e-05,8.754880846071685e-06
household,1.0327484534591909e-05,0.00015397347806840272,0.0002871593456472201,3.6516341062625523e-05,0.00021887202115179212
centuri,2.0654969069183818e-05,8.661008141347653e-05,0.00017600088926765105,0.000231270160063295,0.00014007809353714696
indistinguish,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
sablan,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,2.4344227375083682e-05,8.754880846071685e-06
frown,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,1.2172113687541841e-05,8.754880846071685e-06
cautiou,8.261987627673527e-05,6.736339665492619e-05,7.410563758637939e-05,3.6516341062625523e-05,1.750976169214337e-05
titanium,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
malign,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,2.6264642538215056e-05
chennai,4.1309938138367636e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
caution,3.0982453603775725e-05,6.736339665492619e-05,5.5579228189784537e-05,1.2172113687541841e-05,8.754880846071685e-05
tosin,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
want,0.00048539177312581977,0.00021171353234405372,0.000657687533579117,0.00048688454750167365,0.0004902733273800143
dyke,1.0327484534591909e-05,9.62334237927517e-06,2.7789614094892268e-05,1.2172113687541841e-05,8.754880846071685e-06
gargantuan,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
outsprint,2.0654969069183818e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
gaydon,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
shuffl,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,7.003904676857348e-05
claquin,1.0327484534591909e-05,1.924668475855034e-05,9.263204698297423e-06,1.2172113687541841e-05,8.754880846071685e-06
ilif,1.0327484534591909e-05,9.62334237927517e-06,9.263204698297423e-06,1.2172113687541841e-05,2.6264642538215056e-05
unpaid,2.0654969069183818e-05,7.698673903420136e-05,3.705281879318969e-05,2.4344227375083682e-05,8.754880846071685e-06
sharron,1.0327484534591909e-05,9.62334237927517e-06,1.8526409396594847e-05,1.2172113687541841e-05,8.754880846071685e-06
cylind,1.0327484534591909e-05,4.811671189637585e-05,9.263204698297423e-06,1.2172113687541841e-05,1.750976169214337e-05
travel,0.00026851459789938964,0.00042342706468810745,0.00023158011745743557,0.00013389325056296025,0.00034144035299679573
